country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,2020-05-29,2020-W22,103,Country_Website,
Austria,Daily hospital occupancy,2020-05-30,2020-W22,98,Country_Website,
Austria,Daily hospital occupancy,2020-05-31,2020-W22,97,Country_Website,
Austria,Daily hospital occupancy,2020-06-01,2020-W23,97,Country_Website,
Austria,Daily hospital occupancy,2020-06-02,2020-W23,88,Country_Website,
Austria,Daily hospital occupancy,2020-06-03,2020-W23,87,Country_Website,
Austria,Daily hospital occupancy,2020-06-04,2020-W23,87,Country_Website,
Austria,Daily hospital occupancy,2020-06-05,2020-W23,75,Country_Website,
Austria,Daily hospital occupancy,2020-06-06,2020-W23,72,Country_Website,
Austria,Daily hospital occupancy,2020-06-07,2020-W23,69,Country_Website,
Austria,Daily hospital occupancy,2020-06-08,2020-W24,82,Country_Website,
Austria,Daily hospital occupancy,2020-06-09,2020-W24,84,Country_Website,
Austria,Daily hospital occupancy,2020-06-10,2020-W24,80,Country_Website,
Austria,Daily hospital occupancy,2020-06-11,2020-W24,81,Country_Website,
Austria,Daily hospital occupancy,2020-06-12,2020-W24,69,Country_Website,
Austria,Daily hospital occupancy,2020-06-13,2020-W24,72,Country_Website,
Austria,Daily hospital occupancy,2020-06-14,2020-W24,69,Country_Website,
Austria,Daily hospital occupancy,2020-06-15,2020-W25,79,Country_Website,
Austria,Daily hospital occupancy,2020-06-16,2020-W25,78,Country_Website,
Austria,Daily hospital occupancy,2020-06-17,2020-W25,71,Country_Website,
Austria,Daily hospital occupancy,2020-06-23,2020-W26,68,Country_Website,
Austria,Daily hospital occupancy,2020-06-24,2020-W26,70,Country_Website,
Austria,Daily hospital occupancy,2020-06-25,2020-W26,71,Country_Website,
Austria,Daily hospital occupancy,2020-06-26,2020-W26,70,Country_Website,
Austria,Daily hospital occupancy,2020-06-27,2020-W26,71,Country_Website,
Austria,Daily hospital occupancy,2020-06-28,2020-W26,71,Country_Website,
Austria,Daily hospital occupancy,2020-06-29,2020-W27,74,Country_Website,
Austria,Daily hospital occupancy,2020-06-30,2020-W27,64,Country_Website,
Austria,Daily hospital occupancy,2020-07-01,2020-W27,74,Country_Website,
Austria,Daily hospital occupancy,2020-07-02,2020-W27,69,Country_Website,
Austria,Daily hospital occupancy,2020-07-03,2020-W27,72,Country_Website,
Austria,Daily hospital occupancy,2020-07-04,2020-W27,68,Country_Website,
Austria,Daily hospital occupancy,2020-07-05,2020-W27,72,Country_Website,
Austria,Daily hospital occupancy,2020-07-06,2020-W28,78,Country_Website,
Austria,Daily hospital occupancy,2020-07-07,2020-W28,91,Country_Website,
Austria,Daily hospital occupancy,2020-07-08,2020-W28,77,Country_Website,
Austria,Daily hospital occupancy,2020-07-09,2020-W28,78,Country_Website,
Austria,Daily hospital occupancy,2020-07-10,2020-W28,80,Country_Website,
Austria,Daily hospital occupancy,2020-07-11,2020-W28,77,Country_Website,
Austria,Daily hospital occupancy,2020-07-12,2020-W28,83,Country_Website,
Austria,Daily hospital occupancy,2020-07-13,2020-W29,82,Country_Website,
Austria,Daily hospital occupancy,2020-07-14,2020-W29,83,Country_Website,
Austria,Daily hospital occupancy,2020-07-15,2020-W29,96,Country_Website,
Austria,Daily hospital occupancy,2020-07-16,2020-W29,94,Country_Website,
Austria,Daily hospital occupancy,2020-07-17,2020-W29,99,Country_Website,
Austria,Daily hospital occupancy,2020-07-18,2020-W29,98,Country_Website,
Austria,Daily hospital occupancy,2020-07-19,2020-W29,99,Country_Website,
Austria,Daily hospital occupancy,2020-07-20,2020-W30,112,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-22,2020-W30,111,Country_Website,
Austria,Daily hospital occupancy,2020-07-23,2020-W30,102,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-24,2020-W30,103,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-25,2020-W30,101,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-26,2020-W30,97,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-27,2020-W31,95,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-28,2020-W31,89,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-29,2020-W31,94,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-30,2020-W31,105,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-07-31,2020-W31,100,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-01,2020-W31,89,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-02,2020-W31,93,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-03,2020-W32,113,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-04,2020-W32,107,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-05,2020-W32,115,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-06,2020-W32,117,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-07,2020-W32,118,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-08,2020-W32,120,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-09,2020-W32,121,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-10,2020-W33,116,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-11,2020-W33,119,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-12,2020-W33,118,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-13,2020-W33,114,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-14,2020-W33,110,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-15,2020-W33,104,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-16,2020-W33,84,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-17,2020-W34,114,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-18,2020-W34,116,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-19,2020-W34,121,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-20,2020-W34,116,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-21,2020-W34,112,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-22,2020-W34,116,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-23,2020-W34,116,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-24,2020-W35,135,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-25,2020-W35,137,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-26,2020-W35,141,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-27,2020-W35,145,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-28,2020-W35,146,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-29,2020-W35,144,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-30,2020-W35,140,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-08-31,2020-W36,154,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-01,2020-W36,149,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-02,2020-W36,157,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-03,2020-W36,161,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-04,2020-W36,156,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-05,2020-W36,157,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-06,2020-W36,143,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-07,2020-W37,163,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-08,2020-W37,170,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-09,2020-W37,197,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-10,2020-W37,205,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-11,2020-W37,204,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-12,2020-W37,209,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-13,2020-W37,226,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-14,2020-W38,255,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-15,2020-W38,293,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-16,2020-W38,321,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-17,2020-W38,319,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-18,2020-W38,334,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-19,2020-W38,349,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-20,2020-W38,341,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-21,2020-W39,364,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-22,2020-W39,390,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-23,2020-W39,413,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-24,2020-W39,422,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-25,2020-W39,411,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-26,2020-W39,423,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-27,2020-W39,446,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-28,2020-W40,469,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-29,2020-W40,491,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-09-30,2020-W40,496,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-01,2020-W40,493,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-02,2020-W40,472,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-03,2020-W40,494,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-04,2020-W40,476,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-05,2020-W41,488,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-06,2020-W41,498,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-07,2020-W41,525,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-15,2020-W42,664,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-16,2020-W42,706,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-17,2020-W42,724,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-18,2020-W42,742,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-19,2020-W43,799,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-20,2020-W43,889,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-21,2020-W43,960,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-22,2020-W43,1002,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-23,2020-W43,1058,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-24,2020-W43,1177,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily hospital occupancy,2020-10-25,2020-W43,1225,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-04-21,2020-W17,196,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-22,2020-W17,176,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-23,2020-W17,169,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-24,2020-W17,156,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-27,2020-W18,140,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-28,2020-W18,136,Surveillance,https://info.gesundheitsministerium.at/dashboard_Epidem.html?l=de
Austria,Daily ICU occupancy,2020-04-29,2020-W18,131,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily ICU occupancy,2020-04-30,2020-W18,128,Country_Website,
Austria,Daily ICU occupancy,2020-05-02,2020-W18,114,Country_Website,
Austria,Daily ICU occupancy,2020-05-03,2020-W18,114,Country_Website,
Austria,Daily ICU occupancy,2020-05-04,2020-W19,111,Country_Website,
Austria,Daily ICU occupancy,2020-05-05,2020-W19,104,Country_Website,
Austria,Daily ICU occupancy,2020-05-06,2020-W19,97,Country_Website,
Austria,Daily ICU occupancy,2020-05-07,2020-W19,92,Country_Website,
Austria,Daily ICU occupancy,2020-05-08,2020-W19,81,Country_Website,
Austria,Daily ICU occupancy,2020-05-09,2020-W19,79,Country_Website,
Austria,Daily ICU occupancy,2020-05-10,2020-W19,72,Country_Website,
Austria,Daily ICU occupancy,2020-05-11,2020-W20,68,Country_Website,
Austria,Daily ICU occupancy,2020-05-12,2020-W20,59,Country_Website,
Austria,Daily ICU occupancy,2020-05-13,2020-W20,55,Country_Website,
Austria,Daily ICU occupancy,2020-05-14,2020-W20,54,Country_Website,
Austria,Daily ICU occupancy,2020-05-15,2020-W20,47,Country_Website,
Austria,Daily ICU occupancy,2020-05-16,2020-W20,50,Country_Website,
Austria,Daily ICU occupancy,2020-05-17,2020-W20,48,Country_Website,
Austria,Daily ICU occupancy,2020-05-18,2020-W21,45,Country_Website,
Austria,Daily ICU occupancy,2020-05-20,2020-W21,37,Country_Website,
Austria,Daily ICU occupancy,2020-05-21,2020-W21,32,Country_Website,
Austria,Daily ICU occupancy,2020-05-22,2020-W21,31,Country_Website,
Austria,Daily ICU occupancy,2020-05-23,2020-W21,28,Country_Website,
Austria,Daily ICU occupancy,2020-05-24,2020-W21,29,Country_Website,
Austria,Daily ICU occupancy,2020-05-25,2020-W22,31,Country_Website,
Austria,Daily ICU occupancy,2020-05-26,2020-W22,32,Country_Website,
Austria,Daily ICU occupancy,2020-05-27,2020-W22,32,Country_Website,
Austria,Daily ICU occupancy,2020-05-28,2020-W22,30,Country_Website,
Austria,Daily ICU occupancy,2020-05-29,2020-W22,25,Country_Website,
Austria,Daily ICU occupancy,2020-05-30,2020-W22,23,Country_Website,
Austria,Daily ICU occupancy,2020-05-31,2020-W22,27,Country_Website,
Austria,Daily ICU occupancy,2020-06-01,2020-W23,29,Country_Website,
Austria,Daily ICU occupancy,2020-06-02,2020-W23,26,Country_Website,
Austria,Daily ICU occupancy,2020-06-03,2020-W23,21,Country_Website,
Austria,Daily ICU occupancy,2020-06-04,2020-W23,22,Country_Website,
Austria,Daily ICU occupancy,2020-06-05,2020-W23,20,Country_Website,
Austria,Daily ICU occupancy,2020-06-06,2020-W23,17,Country_Website,
Austria,Daily ICU occupancy,2020-06-07,2020-W23,17,Country_Website,
Austria,Daily ICU occupancy,2020-06-08,2020-W24,17,Country_Website,
Austria,Daily ICU occupancy,2020-06-09,2020-W24,19,Country_Website,
Austria,Daily ICU occupancy,2020-06-10,2020-W24,17,Country_Website,
Austria,Daily ICU occupancy,2020-06-11,2020-W24,14,Country_Website,
Austria,Daily ICU occupancy,2020-06-12,2020-W24,9,Country_Website,
Austria,Daily ICU occupancy,2020-06-13,2020-W24,10,Country_Website,
Austria,Daily ICU occupancy,2020-06-14,2020-W24,12,Country_Website,
Austria,Daily ICU occupancy,2020-06-15,2020-W25,15,Country_Website,
Austria,Daily ICU occupancy,2020-06-16,2020-W25,12,Country_Website,
Austria,Daily ICU occupancy,2020-06-17,2020-W25,11,Country_Website,
Austria,Daily ICU occupancy,2020-06-23,2020-W26,11,Country_Website,
Austria,Daily ICU occupancy,2020-06-24,2020-W26,11,Country_Website,
Austria,Daily ICU occupancy,2020-06-25,2020-W26,11,Country_Website,
Austria,Daily ICU occupancy,2020-06-26,2020-W26,10,Country_Website,
Austria,Daily ICU occupancy,2020-06-27,2020-W26,10,Country_Website,
Austria,Daily ICU occupancy,2020-06-28,2020-W26,9,Country_Website,
Austria,Daily ICU occupancy,2020-06-29,2020-W27,8,Country_Website,
Austria,Daily ICU occupancy,2020-06-30,2020-W27,6,Country_Website,
Austria,Daily ICU occupancy,2020-07-01,2020-W27,9,Country_Website,
Austria,Daily ICU occupancy,2020-07-02,2020-W27,7,Country_Website,
Austria,Daily ICU occupancy,2020-07-03,2020-W27,7,Country_Website,
Austria,Daily ICU occupancy,2020-07-04,2020-W27,8,Country_Website,
Austria,Daily ICU occupancy,2020-07-05,2020-W27,10,Country_Website,
Austria,Daily ICU occupancy,2020-07-06,2020-W28,11,Country_Website,
Austria,Daily ICU occupancy,2020-07-07,2020-W28,10,Country_Website,
Austria,Daily ICU occupancy,2020-07-08,2020-W28,11,Country_Website,
Austria,Daily ICU occupancy,2020-07-09,2020-W28,12,Country_Website,
Austria,Daily ICU occupancy,2020-07-10,2020-W28,9,Country_Website,
Austria,Daily ICU occupancy,2020-07-11,2020-W28,9,Country_Website,
Austria,Daily ICU occupancy,2020-07-12,2020-W28,10,Country_Website,
Austria,Daily ICU occupancy,2020-07-13,2020-W29,8,Country_Website,
Austria,Daily ICU occupancy,2020-07-14,2020-W29,9,Country_Website,
Austria,Daily ICU occupancy,2020-07-15,2020-W29,10,Country_Website,
Austria,Daily ICU occupancy,2020-07-16,2020-W29,11,Country_Website,
Austria,Daily ICU occupancy,2020-07-17,2020-W29,11,Country_Website,
Austria,Daily ICU occupancy,2020-07-18,2020-W29,11,Country_Website,
Austria,Daily ICU occupancy,2020-07-19,2020-W29,14,Country_Website,
Austria,Daily ICU occupancy,2020-07-20,2020-W30,16,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-22,2020-W30,18,Country_Website,
Austria,Daily ICU occupancy,2020-07-23,2020-W30,15,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-24,2020-W30,17,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-25,2020-W30,16,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-26,2020-W30,15,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-27,2020-W31,16,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-28,2020-W31,15,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-29,2020-W31,20,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-30,2020-W31,18,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-07-31,2020-W31,16,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-01,2020-W31,19,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-02,2020-W31,20,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-03,2020-W32,21,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-04,2020-W32,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-05,2020-W32,25,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-06,2020-W32,25,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-07,2020-W32,25,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-08,2020-W32,24,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-09,2020-W32,22,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-10,2020-W33,24,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-11,2020-W33,25,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-12,2020-W33,25,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-13,2020-W33,22,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-14,2020-W33,19,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-15,2020-W33,21,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-16,2020-W33,19,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-17,2020-W34,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-18,2020-W34,19,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-19,2020-W34,20,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-20,2020-W34,21,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-21,2020-W34,22,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-22,2020-W34,22,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-23,2020-W34,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-24,2020-W35,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-25,2020-W35,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-26,2020-W35,23,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-27,2020-W35,24,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-28,2020-W35,27,Country_Website,https://info.gesundheitsministerium.at
Austria,Daily ICU occupancy,2020-08-29,2020-W35,30,Country_Website,https://info.gesundheitsministerium.at
