"Country","Response_measure","change","date_start","date_end"
"Bulgaria","EntertainmentVenuesPartial",1,2020-05-18,NA
"Bulgaria","GymsSportsCentres",1,2020-03-13,2020-05-31
"Bulgaria","GymsSportsCentresPartial",1,2020-06-01,2020-06-14
"Bulgaria","IndoorOver5",1,2020-03-13,2020-06-30
"Bulgaria","MasksMandatoryAllSpaces",1,2020-03-30,2020-03-31
"Bulgaria","MasksMandatoryAllSpaces",3,2020-04-12,2020-06-14
"Bulgaria","MasksMandatoryAllSpacesPartial",1,2020-06-15,NA
"Bulgaria","MassGatherAllPartial",1,2020-03-13,2020-06-30
"Bulgaria","NonEssentialShops",1,2020-03-13,2020-05-17
"Bulgaria","NonEssentialShopsPartial",1,2020-05-18,NA
"Bulgaria","OutdoorOver5",1,2020-03-13,2020-06-30
"Bulgaria","RestaurantsCafes",1,2020-03-13,2020-05-31
"Bulgaria","RestaurantsCafesPartial",1,2020-06-01,NA
"Bulgaria","StayHomeRiskG",1,2020-03-17,NA
"Bulgaria","Teleworking",1,2020-03-13,NA
"Croatia","ClosDaycare",1,2020-03-16,2020-05-11
"Croatia","ClosHigh",1,2020-03-16,NA
"Croatia","ClosPrim",1,2020-03-16,2020-05-10
"Croatia","ClosPrimPartial",1,2020-05-11,2020-05-25
"Croatia","ClosPubAny",1,2020-03-19,2020-05-28
"Croatia","ClosPubAnyPartial",1,2020-08-14,2020-09-22
"Croatia","ClosSec",1,2020-03-16,NA
"Croatia","ClosureOfPublicTransport",1,2020-03-22,2020-04-27
"Croatia","EntertainmentVenues",1,2020-03-19,2020-05-28
"Croatia","GymsSportsCentres",1,2020-03-19,2020-05-11
"Croatia","IndoorOver5",1,2020-03-19,NA
"Croatia","MasksMandatoryAllSpaces",1,2020-02-28,NA
"Croatia","MasksMandatoryClosedSpacesPartial",1,2020-06-25,NA
"Croatia","MassGatherAll",1,2020-03-19,2020-08-23
"Croatia","MassGatherAllPartial",1,2020-08-24,NA
"Croatia","NonEssentialShops",1,2020-03-19,2020-04-27
"Croatia","OutdoorOver5",1,2020-03-19,2020-05-17
"Croatia","OutdoorOver50",1,2020-05-18,2020-05-27
"Croatia","OutdoorOver50",3,2020-08-24,NA
"Croatia","RestaurantsCafes",1,2020-03-19,2020-05-11
"Croatia","RestaurantsCafesPartial",1,2020-08-14,2020-09-22
"Croatia","StayHomeGen",1,2020-03-17,2020-05-05
"Croatia","StayHomeRiskG",1,2020-03-03,NA
"Croatia","Teleworking",1,2020-03-19,2020-05-27
"Cyprus","ClosDaycare",1,2020-03-10,2020-06-09
"Cyprus","ClosHigh",1,2020-03-10,2020-05-11
"Cyprus","ClosPrim",1,2020-03-10,2020-05-21
"Cyprus","ClosPubAny",1,2020-03-13,2020-05-03
"Cyprus","ClosPubAnyPartial",1,2020-05-04,2020-06-29
"Cyprus","ClosSec",1,2020-03-10,2020-05-10
"Cyprus","ClosSecPartial",1,2020-05-11,2020-05-21
"Cyprus","EntertainmentVenues",1,2020-03-16,2020-05-20
"Cyprus","EntertainmentVenuesPartial",1,2020-05-21,2020-06-29
"Cyprus","GymsSportsCentres",1,2020-03-13,2020-05-03
"Cyprus","GymsSportsCentresPartial",1,2020-05-04,2020-06-13
"Cyprus","HotelsOtherAccommodation",1,2020-03-16,2020-05-03
"Cyprus","HotelsOtherAccommodationPartial",1,2020-05-04,2020-06-09
"Cyprus","IndoorOver100",1,2020-07-12,NA
"Cyprus","IndoorOver50",1,2020-03-10,2020-07-11
"Cyprus","MasksMandatoryClosedSpaces",1,2020-05-04,NA
"Cyprus","MassGatherAll",1,2020-03-10,NA
"Cyprus","NonEssentialShops",1,2020-03-16,2020-05-03
"Cyprus","NonEssentialShopsPartial",1,2020-05-04,2020-06-09
"Cyprus","OutdoorOver100",1,2020-07-12,NA
"Cyprus","OutdoorOver5",1,2020-03-10,2020-06-24
"Cyprus","OutdoorOver50",1,2020-06-25,2020-07-11
"Cyprus","PlaceOfWorship",1,2020-03-16,2020-05-03
"Cyprus","PlaceOfWorshipPartial",1,2020-05-04,2020-06-01
"Cyprus","RestaurantsCafes",1,2020-03-16,2020-05-20
"Cyprus","RestaurantsCafesPartial",1,2020-05-21,2020-06-09
"Cyprus","StayHomeOrder",1,2020-03-24,2020-05-03
"Cyprus","StayHomeOrderPartial",1,2020-05-04,2020-05-21
"Cyprus","WorkplaceClosures",1,2020-03-16,2020-04-14
"Cyprus","WorkplaceClosuresPartial",1,2020-04-15,2020-06-29
"Czechia","AdaptationOfWorkplace",1,2020-03-24,2020-05-11
"Czechia","ClosDaycare",1,2020-03-11,2020-05-11
"Czechia","ClosHigh",1,2020-03-11,2020-05-10
"Czechia","ClosHighPartial",1,2020-05-11,2020-08-31
"Czechia","ClosPrim",1,2020-03-11,2020-06-07
"Czechia","ClosPrimPartial",1,2020-06-08,2020-08-31
"Czechia","ClosPubAnyPartial",1,2020-03-10,NA
"Czechia","ClosSec",1,2020-03-11,2020-06-07
"Czechia","ClosSecPartial",1,2020-06-08,2020-08-31
"Czechia","EntertainmentVenuesPartial",1,2020-03-13,NA
"Czechia","GymsSportsCentres",1,2020-03-13,2020-04-26
"Czechia","GymsSportsCentresPartial",1,2020-04-27,NA
"Czechia","IndoorOver5",1,2020-03-23,2020-04-20
"Czechia","IndoorOver50",1,2020-03-12,2020-03-22
"Czechia","IndoorOver50",3,2020-04-21,2020-05-11
"Czechia","IndoorOver500",1,2020-03-04,2020-03-11
"Czechia","IndoorOver500",3,2020-09-01,NA
"Czechia","MasksMandatoryAllSpaces",1,2020-03-19,2020-05-10
"Czechia","MasksMandatoryAllSpacesPartial",1,2020-05-11,2020-07-03
"Czechia","MasksMandatoryClosedSpaces",1,2020-07-25,NA
"Czechia","MasksVoluntaryAllSpaces",1,2020-07-04,2020-08-31
"Czechia","MassGatherAll",1,2020-03-04,2020-05-11
"Czechia","MassGatherAll",3,2020-09-01,NA
"Czechia","NonEssentialShops",1,2020-03-14,2020-05-11
"Czechia","OutdoorOver1000",1,2020-09-01,NA
"Czechia","OutdoorOver5",1,2020-03-23,2020-04-20
"Czechia","OutdoorOver50",1,2020-03-12,2020-03-22
"Czechia","OutdoorOver50",3,2020-04-21,2020-05-11
"Czechia","OutdoorOver500",1,2020-03-04,2020-03-11
"Czechia","PlaceOfWorshipPartial",1,2020-03-10,NA
"Czechia","RestaurantsCafes",1,2020-03-14,2020-05-11
"Czechia","StayHomeOrder",1,2020-03-16,2020-04-24
"Denmark","AdaptationOfWorkplace",1,2020-05-08,2020-05-19
"Denmark","AdaptationOfWorkplacePartial",1,2020-05-20,NA
"Denmark","ClosDaycare",1,2020-03-16,2020-04-15
"Denmark","ClosHigh",1,2020-03-16,2020-07-31
"Denmark","ClosPrim",1,2020-03-16,2020-04-15
"Denmark","ClosPubAny",1,2020-03-18,2020-04-20
"Denmark","ClosPubAnyPartial",1,2020-04-21,NA
"Denmark","ClosSec",1,2020-03-16,2020-05-18
"Denmark","EntertainmentVenues",1,2020-03-18,2020-06-08
"Denmark","GymsSportsCentres",1,2020-03-18,2020-06-08
"Denmark","IndoorOver100",1,2020-03-14,2020-03-17
"Denmark","IndoorOver5",1,2020-03-18,2020-06-08
"Denmark","IndoorOver50",1,2020-06-09,2020-08-31
"Denmark","MasksMandatoryClosedSpaces",1,2020-08-22,NA
"Denmark","MasksVoluntaryAllSpacesPartial",1,2020-07-09,NA
"Denmark","MassGatherAll",1,2020-03-14,2020-06-14
"Denmark","MassGatherAllPartial",1,2020-06-15,NA
"Denmark","NonEssentialShops",1,2020-03-18,2020-04-20
"Denmark","NonEssentialShopsPartial",1,2020-04-21,NA
"Denmark","OutdoorOver100",1,2020-06-15,NA
"Denmark","OutdoorOver5",1,2020-03-18,2020-06-08
"Denmark","OutdoorOver500",1,2020-06-09,2020-06-14
"Denmark","PlaceOfWorship",1,2020-03-18,2020-05-18
"Denmark","RestaurantsCafes",1,2020-03-18,2020-05-18
"Denmark","RestaurantsCafes",3,2020-08-21,2020-09-16
"Denmark","RestaurantsCafesPartial",1,2020-09-17,NA
"Denmark","StayHomeRiskG",1,2020-03-14,NA
"Denmark","Teleworking",1,2020-03-13,2020-06-14
"Denmark","TeleworkingPartial",1,2020-06-15,NA
"Denmark","WorkplaceClosures",1,2020-03-13,2020-05-10
"Estonia","ClosHigh",1,2020-03-16,2020-05-17
"Estonia","ClosPrim",1,2020-03-16,2020-05-17
"Estonia","ClosPubAny",1,2020-03-12,2020-05-16
"Estonia","ClosPubAnyPartial",1,2020-05-17,2020-07-01
"Estonia","ClosSec",1,2020-03-16,2020-05-17
"Estonia","EntertainmentVenues",1,2020-03-12,2020-05-16
"Estonia","EntertainmentVenuesPartial",1,2020-05-17,2020-07-01
"Estonia","GymsSportsCentres",1,2020-03-16,2020-05-17
"Estonia","IndoorOver100",1,2020-06-01,2020-07-14
"Estonia","IndoorOver1000",1,2020-07-15,2020-07-31
"Estonia","IndoorOver5",1,2020-03-12,2020-05-17
"Estonia","IndoorOver50",1,2020-05-18,2020-05-31
"Estonia","IndoorOver500",1,2020-09-29,NA
"Estonia","MasksVoluntaryAllSpaces",1,2020-03-12,2020-05-16
"Estonia","MasksVoluntaryAllSpacesPartial",1,2020-05-17,2020-07-31
"Estonia","MassGatherAll",1,2020-03-12,2020-05-31
"Estonia","MassGatherAll",3,2020-08-01,NA
"Estonia","MassGatherAllPartial",1,2020-06-01,2020-07-31
"Estonia","NonEssentialShops",1,2020-03-27,2020-05-17
"Estonia","OutdoorOver100",1,2020-05-18,2020-06-30
"Estonia","OutdoorOver1000",1,2020-07-01,NA
"Estonia","OutdoorOver5",1,2020-03-12,2020-05-17
"Estonia","PlaceOfWorship",1,2020-03-12,2020-05-10
"Estonia","StayHomeGen",1,2020-03-12,2020-05-17
"Estonia","Teleworking",1,2020-03-16,NA
"Finland","ClosHigh",1,2020-03-18,2020-08-04
"Finland","ClosPrim",1,2020-03-18,2020-05-14
"Finland","ClosPubAny",1,2020-03-18,2020-05-31
"Finland","ClosPubAnyPartial",1,2020-06-01,NA
"Finland","ClosSec",1,2020-03-18,2020-08-04
"Finland","EntertainmentVenues",1,2020-03-18,2020-05-31
"Finland","EntertainmentVenuesPartial",1,2020-06-01,NA
"Finland","GymsSportsCentres",1,2020-03-18,2020-06-01
"Finland","IndoorOver50",1,2020-03-18,2020-07-31
"Finland","IndoorOver500",1,2020-03-12,2020-03-17
"Finland","IndoorOver500",3,2020-08-01,NA
"Finland","MasksVoluntaryClosedSpaces",1,2020-09-18,NA
"Finland","MasksVoluntaryClosedSpacesPartial",1,2020-08-13,2020-09-17
"Finland","MassGatherAll",1,2020-03-12,2020-06-30
"Finland","MassGatherAllPartial",1,2020-07-01,NA
"Finland","OutdoorOver50",1,2020-03-18,2020-07-31
"Finland","OutdoorOver500",1,2020-03-12,2020-03-17
"Finland","OutdoorOver500",3,2020-08-01,NA
"Finland","RestaurantsCafes",1,2020-03-18,2020-05-31
"Finland","RestaurantsCafesPartial",1,2020-06-01,2020-07-13
"Finland","RestaurantsCafesPartial",3,2020-10-01,NA
"Finland","StayHomeRiskG",1,2020-03-16,2020-06-22
"Finland","StayHomeRiskGPartial",1,2020-06-23,NA
"Finland","Teleworking",1,2020-03-18,2020-08-01
"Finland","TeleworkingPartial",1,2020-08-13,NA
"France","ClosDaycare",1,2020-03-16,2020-06-01
"France","ClosDaycarePartial",1,2020-06-02,2020-06-22
"France","ClosHighPartial",1,2020-03-16,2020-06-22
"France","ClosPrimPartial",1,2020-03-16,2020-06-22
"France","ClosPubAny",1,2020-03-16,2020-05-10
"France","ClosPubAnyPartial",1,2020-05-11,2020-06-22
"France","ClosSec",1,2020-03-16,2020-05-10
"France","ClosSecPartial",1,2020-05-11,2020-06-22
"France","EntertainmentVenues",1,2020-03-16,2020-06-01
"France","EntertainmentVenuesPartial",1,2020-06-02,2020-06-22
"France","GymsSportsCentres",1,2020-03-16,2020-06-22
"France","IndoorOver1000",1,2020-02-29,NA
"France","MasksMandatoryClosedSpaces",1,2020-05-18,NA
"France","MasksVoluntaryAllSpaces",1,2020-05-11,2020-07-25
"France","MasksVoluntaryClosedSpaces",1,2020-05-11,2020-05-17
"France","MassGatherAll",1,2020-02-29,2020-09-17
"France","MassGatherAllPartial",1,2020-09-18,NA
"France","NonEssentialShops",1,2020-03-16,2020-05-10
"France","NonEssentialShopsPartial",1,2020-05-11,2020-06-02
"France","OutdoorOver1000",1,2020-03-13,2020-03-16
"France","OutdoorOver1000",3,2020-06-16,2020-07-11
"France","OutdoorOver5",1,2020-03-17,2020-06-15
"France","OutdoorOver50",1,2020-09-18,NA
"France","RestaurantsCafes",1,2020-03-16,2020-06-01
"France","RestaurantsCafesPartial",1,2020-06-02,2020-06-15
"France","StayHomeOrder",1,2020-03-17,2020-05-11
"France","StayHomeOrderPartial",1,2020-05-12,2020-06-02
"France","Teleworking",1,2020-03-17,2020-05-10
"France","TeleworkingPartial",1,2020-05-11,NA
"France","WorkplaceClosures",1,2020-03-17,2020-05-11
"Germany","ClosDaycare",1,2020-03-13,2020-05-14
"Germany","ClosDaycarePartial",1,2020-05-15,2020-07-01
"Germany","ClosPrim",1,2020-03-13,2020-05-03
"Germany","ClosPrimPartial",1,2020-05-04,2020-06-29
"Germany","ClosPubAny",1,2020-03-16,2020-05-04
"Germany","ClosPubAnyPartial",1,2020-05-05,NA
"Germany","ClosSec",1,2020-03-13,2020-05-03
"Germany","ClosSecPartial",1,2020-05-04,2020-06-15
"Germany","EntertainmentVenues",1,2020-03-16,2020-05-04
"Germany","EntertainmentVenuesPartial",1,2020-05-05,NA
"Germany","GymsSportsCentres",1,2020-03-16,2020-05-14
"Germany","IndoorOver100",1,2020-06-30,2020-09-28
"Germany","IndoorOver1000",1,2020-03-08,2020-03-22
"Germany","IndoorOver50",1,2020-03-23,2020-06-29
"Germany","IndoorOver50",3,2020-09-29,NA
"Germany","MasksMandatoryClosedSpacesPartial",1,2020-04-27,NA
"Germany","MasksVoluntaryAllSpaces",1,2020-04-02,2020-04-27
"Germany","MassGatherAll",1,2020-03-08,2020-05-10
"Germany","MassGatherAllPartial",1,2020-05-11,NA
"Germany","NonEssentialShops",1,2020-03-16,2020-04-20
"Germany","OutdoorOver100",1,2020-06-30,NA
"Germany","OutdoorOver5",1,2020-03-23,2020-06-29
"Germany","RestaurantsCafes",1,2020-03-23,2020-05-04
"Germany","RestaurantsCafesPartial",1,2020-05-05,2020-06-08
"Germany","SocialCirclePartial",1,2020-08-02,NA
"Germany","StayHomeGen",1,2020-03-17,2020-05-05
"Germany","StayHomeGenPartial",1,2020-05-06,2020-06-29
"Greece","ClosDaycare",1,2020-03-11,2020-06-01
"Greece","ClosHigh",1,2020-03-11,2020-05-24
"Greece","ClosHighPartial",1,2020-05-25,NA
"Greece","ClosPrim",1,2020-03-11,2020-06-01
"Greece","ClosPubAny",1,2020-03-14,2020-05-03
"Greece","ClosPubAnyPartial",1,2020-05-04,NA
"Greece","ClosSec",1,2020-03-11,2020-05-10
"Greece","ClosSecPartial",1,2020-05-11,2020-05-18
"Greece","EntertainmentVenues",1,2020-03-14,2020-05-17
"Greece","EntertainmentVenuesPartial",1,2020-05-18,2020-06-15
"Greece","EntertainmentVenuesPartial",3,2020-07-13,NA
"Greece","GymsSportsCentres",1,2020-03-14,2020-06-05
"Greece","GymsSportsCentresPartial",1,2020-06-06,2020-06-15
"Greece","HotelsOtherAccommodation",1,2020-03-15,2020-05-24
"Greece","HotelsOtherAccommodationPartial",1,2020-05-25,2020-07-01
"Greece","IndoorOver100",1,2020-08-09,NA
"Greece","IndoorOver5",1,2020-03-19,2020-05-03
"Greece","MasksMandatoryClosedSpaces",1,2020-04-28,NA
"Greece","MasksVoluntaryClosedSpaces",1,2020-04-28,2020-08-07
"Greece","MassGatherAll",1,2020-03-19,2020-05-03
"Greece","MassGatherAll",3,2020-08-09,NA
"Greece","NonEssentialShops",1,2020-03-14,2020-05-03
"Greece","NonEssentialShopsPartial",1,2020-05-04,2020-06-01
"Greece","OutdoorOver100",1,2020-08-09,NA
"Greece","OutdoorOver5",1,2020-03-19,2020-05-03
"Greece","PlaceOfWorship",1,2020-03-14,2020-05-16
"Greece","PlaceOfWorshipPartial",1,2020-05-17,2020-06-05
"Greece","RestaurantsCafes",1,2020-03-14,2020-05-31
"Greece","RestaurantsCafesPartial",1,2020-06-01,NA
"Greece","StayHomeGen",1,2020-02-27,2020-03-22
"Greece","StayHomeOrder",1,2020-03-23,2020-05-04
"Greece","StayHomeRiskG",1,2020-03-11,NA
"Greece","Teleworking",1,2020-03-19,NA
"Hungary","ClosDaycare",1,2020-03-25,2020-06-02
"Hungary","ClosHigh",1,2020-03-25,2020-05-18
"Hungary","ClosPrim",1,2020-03-16,2020-06-01
"Hungary","ClosPrimPartial",1,2020-06-02,2020-06-26
"Hungary","ClosPubAny",1,2020-03-13,2020-05-18
"Hungary","ClosPubAny",3,2020-09-21,NA
"Hungary","ClosSec",1,2020-03-16,2020-06-01
"Hungary","ClosSecPartial",1,2020-06-02,2020-06-26
"Hungary","EntertainmentVenues",1,2020-03-13,2020-05-18
"Hungary","EntertainmentVenues",3,2020-09-21,NA
"Hungary","IndoorOver100",1,2020-03-11,2020-03-15
"Hungary","IndoorOver5",1,2020-03-16,2020-06-11
"Hungary","MasksMandatoryClosedSpaces",1,2020-05-04,NA
"Hungary","MassGatherAll",1,2020-03-11,2020-06-11
"Hungary","NonEssentialShops",1,2020-03-28,2020-05-18
"Hungary","OutdoorOver5",1,2020-03-16,2020-06-11
"Hungary","RestaurantsCafes",1,2020-03-28,2020-05-18
"Hungary","StayHomeGen",1,2020-03-21,2020-03-26
"Hungary","StayHomeOrder",1,2020-03-27,2020-05-18
"Iceland","AdaptationOfWorkplace",1,2020-03-16,NA
"Iceland","ClosHigh",1,2020-03-16,2020-05-04
"Iceland","ClosPubAny",1,2020-03-16,2020-05-03
"Iceland","ClosPubAnyPartial",1,2020-05-04,2020-06-15
"Iceland","ClosPubAnyPartial",3,2020-08-31,NA
"Iceland","ClosSec",1,2020-03-16,2020-05-04
"Iceland","EntertainmentVenues",1,2020-03-16,2020-05-03
"Iceland","EntertainmentVenuesPartial",1,2020-05-04,2020-05-25
"Iceland","EntertainmentVenuesPartial",3,2020-08-31,NA
"Iceland","GymsSportsCentres",1,2020-03-16,2020-05-17
"Iceland","GymsSportsCentresPartial",1,2020-05-18,2020-06-15
"Iceland","IndoorOver100",1,2020-03-16,2020-03-23
"Iceland","IndoorOver100",3,2020-07-31,2020-09-09
"Iceland","IndoorOver50",1,2020-03-24,2020-05-25
"Iceland","IndoorOver500",1,2020-05-26,2020-07-30
"Iceland","IndoorOver500",3,2020-09-10,NA
"Iceland","MasksVoluntaryAllSpacesPartial",1,2020-07-31,NA
"Iceland","MassGatherAll",1,2020-03-16,2020-05-24
"Iceland","MassGatherAllPartial",1,2020-05-25,NA
"Iceland","OutdoorOver100",1,2020-03-16,2020-03-23
"Iceland","OutdoorOver100",3,2020-07-31,2020-09-07
"Iceland","OutdoorOver50",1,2020-03-24,2020-05-25
"Iceland","OutdoorOver500",1,2020-05-26,2020-07-30
"Iceland","OutdoorOver500",3,2020-09-08,NA
"Iceland","RestaurantsCafes",1,2020-03-16,2020-05-25
"Iceland","StayHomeRiskG",1,2020-03-16,NA
"Ireland","ClosDaycare",1,2020-03-12,2020-06-29
"Ireland","ClosHigh",1,2020-03-12,NA
"Ireland","ClosPrim",1,2020-03-12,2020-08-24
"Ireland","ClosPubAny",1,2020-03-12,2020-03-26
"Ireland","ClosPubAny",3,2020-06-06,2020-06-29
"Ireland","ClosPubAnyPartial",1,2020-03-27,2020-06-05
"Ireland","ClosPubAnyPartial",3,2020-10-06,NA
"Ireland","ClosSec",1,2020-03-12,2020-08-31
"Ireland","ClosureOfPublicTransportPartial",1,2020-03-27,2020-06-05
"Ireland","EntertainmentVenues",1,2020-03-12,2020-06-29
"Ireland","EntertainmentVenues",3,2020-10-06,NA
"Ireland","GymsSportsCentres",1,2020-03-24,2020-06-29
"Ireland","GymsSportsCentresPartial",1,2020-10-06,NA
"Ireland","IndoorOver100",1,2020-03-12,2020-03-23
"Ireland","IndoorOver5",1,2020-03-24,2020-06-28
"Ireland","IndoorOver50",1,2020-06-29,NA
"Ireland","MasksMandatoryClosedSpaces",1,2020-06-29,NA
"Ireland","MasksVoluntaryAllSpaces",1,2020-05-18,NA
"Ireland","MassGatherAll",1,2020-03-12,NA
"Ireland","NonEssentialShops",1,2020-03-24,2020-06-29
"Ireland","OutdoorOver5",1,2020-03-24,2020-06-28
"Ireland","OutdoorOver50",1,2020-08-24,NA
"Ireland","OutdoorOver500",1,2020-03-12,2020-03-23
"Ireland","OutdoorOver500",3,2020-06-29,2020-08-23
"Ireland","PlaceOfWorshipPartial",1,2020-10-06,NA
"Ireland","RestaurantsCafes",1,2020-03-24,2020-06-29
"Ireland","RestaurantsCafesPartial",1,2020-10-06,NA
"Ireland","StayHomeGen",1,2020-03-24,2020-03-26
"Ireland","StayHomeGen",3,2020-05-18,2020-06-26
"Ireland","StayHomeGenPartial",1,2020-03-12,2020-03-23
"Ireland","StayHomeOrder",1,2020-03-27,2020-05-17
"Ireland","StayHomeRiskG",1,2020-03-12,NA
"Ireland","Teleworking",1,2020-03-12,2020-06-07
"Ireland","TeleworkingPartial",1,2020-06-08,NA
"Italy","AdaptationOfWorkplace",1,2020-03-10,NA
"Italy","ClosDaycare",1,2020-03-10,2020-06-10
"Italy","ClosDaycarePartial",1,2020-03-04,2020-03-09
"Italy","ClosDaycarePartial",3,2020-06-11,2020-09-14
"Italy","ClosHigh",1,2020-03-10,2020-06-10
"Italy","ClosHighPartial",1,2020-03-04,2020-03-09
"Italy","ClosHighPartial",3,2020-06-11,2020-09-14
"Italy","ClosPrim",1,2020-03-11,2020-09-14
"Italy","ClosPrimPartial",1,2020-03-04,2020-03-10
"Italy","ClosPubAnyPartial",1,2020-03-10,NA
"Italy","ClosSec",1,2020-03-04,2020-06-16
"Italy","ClosSec",3,2020-07-05,2020-09-14
"Italy","ClosSecPartial",1,2020-06-17,2020-07-04
"Italy","EntertainmentVenues",1,2020-03-10,2020-05-17
"Italy","EntertainmentVenuesPartial",1,2020-05-18,2020-06-15
"Italy","GymsSportsCentres",1,2020-03-10,2020-05-24
"Italy","GymsSportsCentresPartial",1,2020-05-25,NA
"Italy","IndoorOver100",1,2020-06-12,2020-08-06
"Italy","IndoorOver500",1,2020-08-07,NA
"Italy","MasksMandatoryAllSpaces",1,2020-04-26,2020-07-14
"Italy","MasksMandatoryAllSpaces",3,2020-08-16,2020-09-30
"Italy","MasksMandatoryAllSpacesPartial",1,2020-07-15,2020-08-15
"Italy","MasksMandatoryClosedSpaces",1,2020-04-14,NA
"Italy","MassGatherAllPartial",1,2020-06-12,NA
"Italy","NonEssentialShops",1,2020-03-10,2020-04-13
