country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
France,FR,FRA,67012883,2020-10-23,14985.0,2432.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-23,2209.0,200.0,JRC
Ireland,IE,IRL,4904240,2020-10-23,311.0,38.0,Country_Website
Italy,IT,ITA,60359546,2020-10-23,11598.0,1049.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-23,113.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-23,88.0,12.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-23,,518.0,Other Website
Norway,NO,NOR,5328212,2020-10-23,44.0,,Country_API
Portugal,PT,PRT,10276617,2020-10-23,1418.0,198.0,Country_Website
Romania,RO,ROU,19414458,2020-10-23,,782.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-23,828.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-23,394.0,66.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-23,8412.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-22,1002.0,161.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-22,3649.0,573.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-22,1732.0,107.0,External_Github
Croatia,HR,HRV,4076246,2020-10-22,661.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-22,5044.0,751.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-22,124.0,17.0,Country_Website
Estonia,EE,EST,1324820,2020-10-22,28.0,2.0,Country_API
France,FR,FRA,67012883,2020-10-22,14009.0,2310.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-22,2132.0,197.0,JRC
Ireland,IE,IRL,4904240,2020-10-22,310.0,37.0,Country_Website
Italy,IT,ITA,60359546,2020-10-22,10686.0,992.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-22,105.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-22,86.0,10.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-22,,508.0,Other Website
Norway,NO,NOR,5328212,2020-10-22,44.0,,Country_API
Poland,PL,POL,37972812,2020-10-22,10091.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-22,1365.0,200.0,Country_Website
Romania,RO,ROU,19414458,2020-10-22,,778.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-22,876.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-22,356.0,62.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-22,7903.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-21,960.0,147.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-21,3275.0,525.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-21,1633.0,93.0,External_Github
Croatia,HR,HRV,4076246,2020-10-21,622.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-21,4777.0,735.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-21,122.0,16.0,Country_Website
Estonia,EE,EST,1324820,2020-10-21,32.0,3.0,Country_API
Finland,FI,FIN,5517919,2020-10-21,65.0,7.0,External_Github
France,FR,FRA,67012883,2020-10-21,13162.0,2239.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-21,2023.0,201.0,JRC
Ireland,IE,IRL,4904240,2020-10-21,324.0,35.0,Country_Website
Italy,IT,ITA,60359546,2020-10-21,9983.0,926.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-21,79.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-21,69.0,8.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-21,,493.0,Other Website
Norway,NO,NOR,5328212,2020-10-21,36.0,,Country_API
Poland,PL,POL,37972812,2020-10-21,9439.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-21,1272.0,187.0,Country_Website
Romania,RO,ROU,19414458,2020-10-21,,766.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-21,844.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-21,333.0,55.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-21,7762.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-20,889.0,145.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-20,2969.0,486.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-20,1562.0,88.0,External_Github
Croatia,HR,HRV,4076246,2020-10-20,574.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-20,4417.0,657.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-20,128.0,15.0,Country_Website
Estonia,EE,EST,1324820,2020-10-20,28.0,3.0,Country_API
France,FR,FRA,67012883,2020-10-20,12435.0,2168.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-20,1960.0,197.0,JRC
Ireland,IE,IRL,4904240,2020-10-20,315.0,34.0,Country_Website
Italy,IT,ITA,60359546,2020-10-20,9324.0,870.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-20,83.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-20,68.0,8.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-20,,476.0,Other Website
Norway,NO,NOR,5328212,2020-10-20,29.0,,Country_API
Poland,PL,POL,37972812,2020-10-20,8962.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-20,1237.0,176.0,Country_Website
Romania,RO,ROU,19414458,2020-10-20,,768.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-20,724.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-20,313.0,55.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-20,7501.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-19,799.0,145.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-19,2773.0,446.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-19,1500.0,74.0,External_Github
Croatia,HR,HRV,4076246,2020-10-19,571.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-19,4064.0,634.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-19,129.0,18.0,Country_Website
Estonia,EE,EST,1324820,2020-10-19,29.0,2.0,Country_API
Finland,FI,FIN,5517919,2020-10-19,62.0,7.0,External_Github
France,FR,FRA,67012883,2020-10-19,11640.0,2090.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-19,1896.0,188.0,JRC
Ireland,IE,IRL,4904240,2020-10-19,298.0,32.0,Country_Website
Italy,IT,ITA,60359546,2020-10-19,8473.0,797.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-19,80.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-19,61.0,5.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-19,,448.0,Other Website
Norway,NO,NOR,5328212,2020-10-19,28.0,,Country_API
Poland,PL,POL,37972812,2020-10-19,8375.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-19,1174.0,165.0,Country_Website
Romania,RO,ROU,19414458,2020-10-19,,757.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-19,638.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-19,291.0,56.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-19,6991.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-18,742.0,135.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-18,2497.0,412.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-18,1484.0,79.0,External_Github
Croatia,HR,HRV,4076246,2020-10-18,548.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-18,3721.0,589.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-18,119.0,17.0,Country_Website
Estonia,EE,EST,1324820,2020-10-18,35.0,3.0,Country_API
France,FR,FRA,67012883,2020-10-18,10897.0,1939.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-18,1712.0,179.0,JRC
Ireland,IE,IRL,4904240,2020-10-18,274.0,31.0,Country_Website
Italy,IT,ITA,60359546,2020-10-18,7881.0,750.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-18,72.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-18,57.0,4.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-18,,409.0,Other Website
Poland,PL,POL,37972812,2020-10-18,8076.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-18,1086.0,155.0,Country_Website
Romania,RO,ROU,19414458,2020-10-18,,749.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-18,633.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-18,265.0,49.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-18,6516.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-17,724.0,130.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-17,2267.0,384.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-17,1450.0,76.0,External_Github
Croatia,HR,HRV,4076246,2020-10-17,530.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-17,3519.0,587.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-17,110.0,16.0,Country_Website
Estonia,EE,EST,1324820,2020-10-17,32.0,3.0,Country_API
France,FR,FRA,67012883,2020-10-17,10399.0,1868.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-17,1693.0,185.0,JRC
Ireland,IE,IRL,4904240,2020-10-17,260.0,30.0,Country_Website
Italy,IT,ITA,60359546,2020-10-17,7322.0,705.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-17,69.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-17,53.0,4.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-17,,389.0,Other Website
Poland,PL,POL,37972812,2020-10-17,1612.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-17,1012.0,148.0,Country_Website
Romania,RO,ROU,19414458,2020-10-17,,745.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-17,614.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-17,250.0,44.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-17,6251.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-16,706.0,122.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-16,2099.0,358.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-16,1426.0,74.0,External_Github
Croatia,HR,HRV,4076246,2020-10-16,505.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-16,3415.0,596.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-16,110.0,16.0,Country_Website
Estonia,EE,EST,1324820,2020-10-16,32.0,3.0,Country_API
Finland,FI,FIN,5517919,2020-10-16,56.0,6.0,External_Github
France,FR,FRA,67012883,2020-10-16,10021.0,1791.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-16,1642.0,171.0,JRC
Ireland,IE,IRL,4904240,2020-10-16,244.0,30.0,Country_Website
Italy,IT,ITA,60359546,2020-10-16,6816.0,638.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-16,63.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-16,49.0,4.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-16,,394.0,Other Website
Norway,NO,NOR,5328212,2020-10-16,28.0,,Country_API
Poland,PL,POL,37972812,2020-10-16,6980.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-16,1015.0,144.0,Country_Website
Romania,RO,ROU,19414458,2020-10-16,,726.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-16,540.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-16,240.0,43.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-16,6017.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-15,664.0,119.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-15,1951.0,327.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-15,1380.0,67.0,External_Github
Croatia,HR,HRV,4076246,2020-10-15,439.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-15,3120.0,551.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-15,104.0,17.0,Country_Website
Estonia,EE,EST,1324820,2020-10-15,36.0,3.0,Country_API
France,FR,FRA,67012883,2020-10-15,9584.0,1741.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-15,1555.0,167.0,JRC
Ireland,IE,IRL,4904240,2020-10-15,238.0,29.0,Country_Website
Italy,IT,ITA,60359546,2020-10-15,6382.0,586.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-15,70.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-15,41.0,4.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-15,,358.0,Other Website
Norway,NO,NOR,5328212,2020-10-15,24.0,,Country_API
Poland,PL,POL,37972812,2020-10-15,6538.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-15,993.0,139.0,Country_Website
Romania,RO,ROU,19414458,2020-10-15,,721.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-15,476.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-15,222.0,40.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-15,5673.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-14,1778.0,313.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-14,1307.0,64.0,External_Github
Croatia,HR,HRV,4076246,2020-10-14,441.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-14,2920.0,543.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-14,104.0,17.0,Country_Website
Estonia,EE,EST,1324820,2020-10-14,35.0,3.0,Country_API
Finland,FI,FIN,5517919,2020-10-14,48.0,8.0,External_Github
France,FR,FRA,67012883,2020-10-14,9173.0,1664.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-14,1538.0,156.0,JRC
Ireland,IE,IRL,4904240,2020-10-14,234.0,30.0,Country_Website
Italy,IT,ITA,60359546,2020-10-14,6009.0,539.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-14,75.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-14,44.0,4.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-14,,340.0,Other Website
Norway,NO,NOR,5328212,2020-10-14,23.0,,Country_API
Poland,PL,POL,37972812,2020-10-14,6084.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-14,957.0,135.0,Country_Website
Romania,RO,ROU,19414458,2020-10-14,,686.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-14,397.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-14,210.0,35.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-14,5376.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-13,1621.0,281.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-13,1221.0,65.0,External_Github
Croatia,HR,HRV,4076246,2020-10-13,424.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-13,2678.0,518.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-13,103.0,19.0,Country_Website
Estonia,EE,EST,1324820,2020-10-13,34.0,3.0,Country_API
France,FR,FRA,67012883,2020-10-13,8928.0,1633.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-13,1519.0,160.0,JRC
Ireland,IE,IRL,4904240,2020-10-13,240.0,31.0,Country_Website
Italy,IT,ITA,60359546,2020-10-13,5590.0,514.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-13,70.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-13,46.0,3.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-13,,321.0,Other Website
Norway,NO,NOR,5328212,2020-10-13,27.0,,Country_API
Poland,PL,POL,37972812,2020-10-13,5669.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-13,916.0,132.0,Country_Website
Romania,RO,ROU,19414458,2020-10-13,,651.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-13,397.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-13,180.0,31.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-13,5030.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-12,1473.0,268.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-12,1205.0,62.0,External_Github
Croatia,HR,HRV,4076246,2020-10-12,404.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-12,2503.0,467.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-12,107.0,19.0,Country_Website
Estonia,EE,EST,1324820,2020-10-12,32.0,5.0,Country_API
Finland,FI,FIN,5517919,2020-10-12,46.0,10.0,External_Github
France,FR,FRA,67012883,2020-10-12,8671.0,1539.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-12,1418.0,154.0,JRC
Ireland,IE,IRL,4904240,2020-10-12,221.0,32.0,Country_Website
Italy,IT,ITA,60359546,2020-10-12,5273.0,452.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-12,65.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-12,40.0,3.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-12,,301.0,Other Website
Norway,NO,NOR,5328212,2020-10-12,31.0,,Country_API
Poland,PL,POL,37972812,2020-10-12,5262.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-12,877.0,128.0,Country_Website
Romania,RO,ROU,19414458,2020-10-12,,628.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-12,393.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-12,172.0,26.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-12,4741.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-11,1331.0,243.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-11,1189.0,59.0,External_Github
Croatia,HR,HRV,4076246,2020-10-11,384.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-11,2146.0,426.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-11,102.0,19.0,Country_Website
Estonia,EE,EST,1324820,2020-10-11,32.0,5.0,Country_API
France,FR,FRA,67012883,2020-10-11,8231.0,1483.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-11,1252.0,138.0,JRC
Ireland,IE,IRL,4904240,2020-10-11,201.0,30.0,Country_Website
Italy,IT,ITA,60359546,2020-10-11,4939.0,420.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-11,61.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-11,36.0,3.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-11,,279.0,Other Website
Poland,PL,POL,37972812,2020-10-11,4924.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-11,843.0,124.0,Country_Website
Romania,RO,ROU,19414458,2020-10-11,,628.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-11,388.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-11,158.0,27.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-11,4465.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-10,1257.0,226.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-10,1131.0,58.0,External_Github
Croatia,HR,HRV,4076246,2020-10-10,382.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-10,2106.0,438.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-10,103.0,20.0,Country_Website
Estonia,EE,EST,1324820,2020-10-10,31.0,5.0,Country_API
France,FR,FRA,67012883,2020-10-10,7976.0,1456.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-10,1174.0,110.0,JRC
Ireland,IE,IRL,4904240,2020-10-10,194.0,30.0,Country_Website
Italy,IT,ITA,60359546,2020-10-10,4726.0,390.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-10,52.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-10,34.0,2.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-10,,274.0,Other Website
Poland,PL,POL,37972812,2020-10-10,4725.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-10,831.0,122.0,Country_Website
Romania,RO,ROU,19414458,2020-10-10,,629.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-10,380.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-10,149.0,21.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-10,4166.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-09,1189.0,212.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-09,1063.0,56.0,External_Github
Croatia,HR,HRV,4076246,2020-10-09,385.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-09,2085.0,408.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-09,106.0,18.0,Country_Website
Estonia,EE,EST,1324820,2020-10-09,30.0,5.0,Country_API
Finland,FI,FIN,5517919,2020-10-09,37.0,5.0,External_Github
France,FR,FRA,67012883,2020-10-09,7843.0,1439.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-09,993.0,82.0,JRC
Ireland,IE,IRL,4904240,2020-10-09,179.0,31.0,Country_Website
Italy,IT,ITA,60359546,2020-10-09,4473.0,387.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-09,47.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-09,34.0,1.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-09,,274.0,Other Website
Norway,NO,NOR,5328212,2020-10-09,23.0,,Country_API
Poland,PL,POL,37972812,2020-10-09,4407.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-09,811.0,125.0,Country_Website
Romania,RO,ROU,19414458,2020-10-09,,613.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-09,370.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-09,138.0,23.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-09,3979.0,,Country_Website
Belgium,BE,BEL,11455519,2020-10-08,1110.0,213.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-08,1033.0,53.0,External_Github
Croatia,HR,HRV,4076246,2020-10-08,361.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-08,1893.0,412.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-08,115.0,17.0,Country_Website
Estonia,EE,EST,1324820,2020-10-08,36.0,5.0,Country_API
France,FR,FRA,67012883,2020-10-08,7603.0,1418.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-08,804.0,56.0,JRC
Ireland,IE,IRL,4904240,2020-10-08,159.0,25.0,Country_Website
Italy,IT,ITA,60359546,2020-10-08,4283.0,358.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-08,42.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-08,24.0,1.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-08,,257.0,Other Website
Norway,NO,NOR,5328212,2020-10-08,27.0,,Country_API
Poland,PL,POL,37972812,2020-10-08,4138.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-08,801.0,115.0,Country_Website
Romania,RO,ROU,19414458,2020-10-08,,607.0,Country_Website
Slovakia,SK,SVK,5450421,2020-10-08,352.0,,JRC
Slovenia,SI,SVN,2080908,2020-10-08,131.0,21.0,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-08,3904.0,,Country_Website
Austria,AT,AUT,8858775,2020-10-07,525.0,100.0,Country_Website
Belgium,BE,BEL,11455519,2020-10-07,1050.0,201.0,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-07,971.0,57.0,External_Github
Croatia,HR,HRV,4076246,2020-10-07,344.0,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-07,1741.0,366.0,Country_Website
Denmark,DK,DNK,5806081,2020-10-07,116.0,15.0,Country_Website
Estonia,EE,EST,1324820,2020-10-07,45.0,5.0,Country_API
Finland,FI,FIN,5517919,2020-10-07,31.0,5.0,External_Github
France,FR,FRA,67012883,2020-10-07,7514.0,1406.0,Country_Website
Hungary,HU,HUN,9772756,2020-10-07,656.0,41.0,JRC
Ireland,IE,IRL,4904240,2020-10-07,156.0,27.0,Country_Website
Italy,IT,ITA,60359546,2020-10-07,4119.0,337.0,Country_Github
Latvia,LV,LVA,1919968,2020-10-07,34.0,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-07,22.0,2.0,Country_Website
Netherlands,NL,NLD,17282163,2020-10-07,,251.0,Other Website
Norway,NO,NOR,5328212,2020-10-07,25.0,,Country_API
Poland,PL,POL,37972812,2020-10-07,4000.0,,Country_Website
Portugal,PT,PRT,10276617,2020-10-07,764.0,104.0,Country_Website
Romania,RO,ROU,19414458,2020-10-07,,612.0,Country_Website
