country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Hungary,HU,HUN,9772756,82,17,2020-04-19,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,2020-06-18,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,3,0,2020-03-08,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,22,0,2020-03-13,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-02-15,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,80,1,2020-09-10,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2357,415,2020-04-26,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,41,0,2020-08-24,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-05-29,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,18746,80,2020-10-08,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,2020-06-14,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,2020-01-11,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-05-24,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,5,0,2020-09-16,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,352,3,2020-10-01,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-06-30,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-04-18,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,781,7,2020-07-25,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,2020-01-23,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,5,0,2020-10-01,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,350,37,2020-06-09,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-05-24,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,10,1,2020-06-20,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-04-12,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,2020-01-11,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,0,2020-01-23,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2,0,2020-03-11,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,894,8,2020-09-20,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,235,12,2020-07-18,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2253,64,2020-05-07,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,8,0,2020-04-14,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,56,0,2020-08-11,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,214,6,2020-03-16,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,250,18,2020-07-07,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,15,1,2020-05-08,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-06-03,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,2020-02-17,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-02-12,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-06-27,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-08-27,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,7,0,2020-08-16,"Epidemic intelligence, national daily data"
Faroes,,,48865,3,0,2020-09-22,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,4,0,2020-03-29,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,27,0,2020-03-15,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-07-31,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,555,1,2020-08-09,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,2020-02-16,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,2020-06-07,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,880,244,2020-05-06,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,179,0,2020-09-17,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,12871,49,2020-10-04,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-09-14,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,769,34,2020-03-19,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,34,0,2020-04-25,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,7108,71,2020-10-01,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-05-12,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,2020-01-20,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,2020-01-20,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,111,5,2020-04-25,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,1224,115,2020-04-06,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-02-29,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,13628,179,2020-10-25,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2207,43,2020-08-10,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2,1,2020-05-14,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,3240,48,2020-09-20,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,10476,184,2020-09-04,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,8831,169,2020-06-05,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,2020-02-20,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,146,1,2020-05-12,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,234,0,2020-03-26,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,17,0,2020-10-02,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,2020-03-05,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,18,0,2020-06-22,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,115,4,2020-05-06,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,232,1,2020-06-22,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,0,2020-02-26,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-09-18,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,4,0,2020-07-30,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,7,0,2020-04-23,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,32,0,2020-04-10,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2951,430,2020-04-21,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,944,6,2020-09-27,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2020-02-26,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,552,76,2020-05-07,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,533,11,2020-07-09,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,460,9,2020-03-24,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,2020-01-02,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2,0,2020-10-03,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,11,0,2020-05-28,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,0,0,2020-01-30,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,33,0,2020-03-08,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-02-19,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-05-26,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,10,0,2020-05-13,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,2020-02-23,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,15258,126,2020-10-24,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,2020-07-27,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,508,7,2020-10-12,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,7,0,2020-06-15,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,88,0,2020-07-10,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,2020-08-24,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,9,0,2020-08-04,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,811,14,2020-06-20,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,2020-01-27,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,175,17,2020-09-01,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,1415,43,2020-08-13,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-02-10,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,10799,241,2020-09-22,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,2020-03-01,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-01-03,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,2020-02-20,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,6,0,2020-07-15,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,2020-02-09,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,47,0,2020-07-09,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1391,65,2020-10-01,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,3,0,2020-08-04,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,31,2,2020-04-27,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,599,9,2020-06-09,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,2020-09-12,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,2020-01-28,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,90,0,2020-08-06,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-01-11,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2020-02-28,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,32,0,2020-08-29,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-01-02,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,18,1,2020-04-03,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,11,0,2020-03-19,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,121,2,2020-08-17,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2020-02-08,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,53,1,2020-06-21,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,230,20,2020-07-17,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,8639,55,2020-10-25,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,950,12,2020-09-26,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,2020-01-21,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,665,9,2020-09-28,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-01-21,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,22,0,2020-09-18,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,433,80,2020-05-10,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1120,143,2020-06-07,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,256,3,2020-06-28,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1412,19,2020-08-21,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,2020-09-05,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,14,0,2020-05-19,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,202,71,2020-06-11,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,12,0,2020-04-29,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,4,0,2020-03-02,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,2020-02-07,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,32,0,2020-03-30,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,20,0,2020-03-18,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,43,4,2020-07-13,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,2020-02-02,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,328,9,2020-07-06,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,235,2,2020-08-15,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,4,0,2020-05-31,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,2020-02-16,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,800,38,2020-05-28,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,2020-02-10,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1295,3,2020-09-02,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,41,0,2020-04-24,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,0,2020-01-10,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-07-02,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,7,0,2020-04-23,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-01-19,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,507,2,2020-08-29,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,57,0,2020-07-30,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,8,0,2020-05-24,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,0,0,2020-01-05,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2297,6,2020-09-19,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-05-22,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,11,1,2020-06-26,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,2020-01-08,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,8,1,2020-04-15,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,3912,833,2020-04-07,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,6,0,2020-09-16,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-01-08,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,4,0,2020-07-30,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,535,18,2020-07-08,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,99,2,2020-04-03,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,378,1,2020-09-29,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,184,3,2020-05-15,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,9,1,2020-03-26,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,29,0,2020-07-25,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1538,68,2020-09-20,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,10,0,2020-03-17,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,0,0,2020-01-26,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,2020-05-22,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,356,0,2020-10-08,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,0,2020-02-03,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,22,0,2020-06-24,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,18,1,2020-04-19,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,213,6,2020-07-25,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,21,0,2020-08-27,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,0,0,2020-01-25,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,1,0,2020-07-02,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,802,165,2020-05-11,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,707,4,2020-06-16,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,255,6,2020-08-09,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2020-02-14,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2,0,2020-09-03,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,11705,69,2020-10-19,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,534,5,2020-06-29,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,12,0,2020-10-04,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,1,0,2020-04-20,"Epidemic intelligence, national daily data"
Faroes,,,48865,5,0,2020-09-14,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,105,0,2020-09-26,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,142,1,2020-10-09,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-10-22,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,460,27,2020-05-22,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,588,7,2020-07-02,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,86,0,2020-07-17,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,2020-01-14,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,2020-02-15,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,2020-02-24,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,4,0,2020-05-30,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,6,0,2020-03-09,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,836,14,2020-07-18,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1071,3,2020-08-23,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,2020-06-04,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,4322,27,2020-09-19,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,3,0,2020-03-01,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,2020-01-19,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,3,0,2020-08-28,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,0,2020-02-13,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,69,2,2020-06-26,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,2020-03-06,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,550,19,2020-09-02,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,11,0,2020-05-31,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,1,0,2020-06-02,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,24,0,2020-07-26,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,57,10,2020-04-26,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,2020-02-13,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,2020-07-22,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-07-14,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,11,2,2020-03-24,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,2020-03-06,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5871,146,2020-07-26,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,2020-01-22,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,2020-01-04,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,6,0,2020-04-03,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,3,0,2020-05-12,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,478,8,2020-10-13,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,26,0,2020-03-20,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,75,2,2020-08-17,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,8,0,2020-08-15,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,0,0,2020-01-23,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,335,3,2020-05-21,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,2020-02-14,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,27,0,2020-03-30,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2669,17,2020-08-14,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,6760,147,2020-07-03,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,4,0,2020-07-13,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,107,2,2020-07-20,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,114,3,2020-05-07,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,2020-01-05,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1062,10,2020-07-24,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,2020-01-14,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,9,0,2020-03-29,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,10,6,2020-04-21,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,229,1,2020-08-14,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,2020-01-19,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-09-07,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,32,0,2020-08-24,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,2020-02-09,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-01-20,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,123,4,2020-03-27,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,14,0,2020-07-18,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,2020-05-22,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,2020-09-30,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,0,0,2020-02-25,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,424,1,2020-09-28,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,2020-02-20,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,4,0,2020-05-29,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,259,15,2020-07-04,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,120,0,2020-09-12,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,53,0,2020-07-09,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,1,1,2020-05-02,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,476,65,2020-05-12,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-09-06,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,24,0,2020-07-20,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,920,15,2020-07-27,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,8,1,2020-03-16,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,2020-09-07,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,10561,17,2020-09-13,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,2020-02-03,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,2020-01-23,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,2020-05-29,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,2020-01-16,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2079,67,2020-05-18,"Epidemic intelligence, national daily data"
